TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF
Arizona Cardinals,8 - 8,295,361,72.9,62.4,55.5,55.4,67.6,58.6,62.4,80.4,82.6
Atlanta Falcons,11 - 7,389,343,94.1,85.5,87.3,75.1,81.2,72.2,82.1,87.6,84.8
Baltimore Ravens,9 - 7,395,303,85.9,69.6,68.5,73.1,63.0,77.4,63.5,84.6,82.7
Buffalo Bills,9 - 8,305,369,79.6,69.3,67.5,81.4,59.2,68.5,69.5,77.9,71.1
Carolina Panthers,11 - 6,389,358,80.2,70.2,65.8,79.3,68.1,64.3,63.0,75.9,83.5
Chicago Bears,5 - 11,264,320,84.5,70.0,70.5,71.4,66.9,60.9,72.8,86.2,89.7
Cincinnati Bengals,7 - 9,290,349,78.2,68.4,70.5,68.5,69.3,67.3,56.2,75.5,72.1
Cleveland Browns,0 - 16,234,410,70.2,63.1,49.2,80.1,62.0,67.6,59.3,72.4,86.7
Dallas Cowboys,9 - 7,354,332,85.8,74.9,68.1,67.7,66.8,75.3,79.8,79.9,71.1
Denver Broncos,5 - 11,289,382,77.4,63.9,47.1,68.6,65.4,69.9,65.9,86.8,92.4
Detroit Lions,9 - 7,410,376,84.8,77.3,75.6,72.0,85.3,52.1,61.2,71.5,73.3
Green Bay Packers,7 - 9,320,384,79.9,72.1,67.0,79.6,66.9,80.2,62.9,75.7,91.2
Houston Texans,4 - 12,338,436,72.3,63.8,57.4,54.8,74.1,66.2,51.6,76.8,89.9
Indianapolis Colts,4 - 12,263,404,75.5,62.8,58.4,69.3,62.1,68.3,56.1,80.4,91.1
Jacksonville Jaguars,12 - 7,492,337,92.9,73.3,66.4,70.5,76.9,65.5,70.0,91.8,90.0
Kansas City Chiefs,10 - 7,436,361,85.5,77.7,79.8,75.0,78.6,74.0,62.0,70.5,69.0
Los Angeles Chargers,9 - 7,355,272,91.9,77.1,79.4,65.8,82.1,70.3,59.0,90.2,71.3
Los Angeles Rams,11 - 6,491,355,92.5,78.9,73.5,74.3,76.4,73.2,78.3,84.5,64.5
Miami Dolphins,6 - 10,281,393,72.9,65.9,56.1,71.0,73.6,77.8,48.1,70.3,78.8
Minnesota Vikings,14 - 4,418,314,93.4,80.4,77.1,71.9,83.9,78.6,65.8,90.1,91.4
New England Patriots,15 - 4,550,371,93.7,90.3,93.1,77.6,79.4,75.0,88.1,75.0,71.1
New Orleans Saints,12 - 6,503,381,93.7,85.1,87.8,84.2,83.0,77.4,67.7,83.9,84.0
New York Giants,3 - 13,246,388,72.9,66.6,68.0,66.8,63.7,64.2,63.4,75.6,83.3
New York Jets,5 - 11,298,382,71.1,65.9,59.0,66.1,70.9,66.1,56.9,69.2,84.6
Oakland Raiders,6 - 10,301,373,79.2,69.9,70.5,81.3,64.4,69.3,64.4,75.3,84.2
Philadelphia Eagles,16 - 3,551,345,94.3,83.6,83.8,75.3,80.8,66.2,82.6,90.5,80.6
Pittsburgh Steelers,13 - 4,448,353,92.3,84.5,83.1,85.7,81.7,70.5,74.1,74.5,65.3
San Francisco 49ers,6 - 10,331,383,82.6,74.9,72.2,73.1,72.1,67.8,76.1,70.6,74.8
Seattle Seahawks,9 - 7,366,332,86.2,70.8,74.5,63.2,74.4,68.7,55.3,86.9,79.0
Tampa Bay Buccaneers,5 - 11,335,382,82.8,76.4,74.2,69.8,82.0,58.5,66.0,74.2,70.4
Tennessee Titans,10 - 8,370,412,87.3,74.8,69.0,83.3,71.5,73.1,67.3,81.0,90.5
Washington Redskins,7 - 9,342,388,78.6,69.4,68.7,67.0,73.5,58.3,61.1,76.8,65.7
