TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,T,kyber-grade-badge__info-text 11,kyber-grade-badge__info-text 12,S
Arizona Cardinals,3 - 13,225,425,63.8,57.4,46.3,55.7,61.7,62.2,59.8,67.9,63.7,77.9,67.4,70.7,73.0
Atlanta Falcons,7 - 9,414,423,89.9,82.4,80.0,78.2,81.2,69.7,73.8,71.9,70.0,49.5,68.8,74.3,72.9
Baltimore Ravens,10 - 7,406,310,85.3,71.2,65.2,76.8,69.1,72.0,66.0,84.8,86.3,76.0,72.0,90.0,66.6
Buffalo Bills,6 - 10,269,374,68.3,58.3,48.1,71.6,57.3,75.7,50.5,81.7,73.3,55.8,73.9,88.8,51.6
Carolina Panthers,7 - 9,376,382,80.6,72.5,67.6,76.6,73.9,77.8,54.6,75.9,80.5,61.3,67.0,73.7,64.4
Chicago Bears,12 - 5,436,299,93.1,72.3,60.1,84.4,74.7,64.4,65.0,93.0,92.9,82.5,75.7,95.9,64.5
Cincinnati Bengals,6 - 10,368,455,78.8,69.9,70.4,67.0,70.6,77.8,56.7,74.8,77.8,50.5,69.7,69.4,68.3
Cleveland Browns,7 - 8 - 1,359,392,80.0,77.2,74.1,85.8,72.3,81.2,63.7,69.0,62.2,33.3,64.2,79.3,54.4
Dallas Cowboys,11 - 7,385,376,86.2,75.1,72.9,75.3,75.1,74.9,61.8,80.5,74.3,56.3,72.0,89.6,59.9
Denver Broncos,6 - 10,329,349,86.4,73.8,67.3,62.7,69.9,84.7,74.0,82.5,90.0,64.4,76.8,72.4,74.2
Detroit Lions,6 - 10,324,360,83.5,75.6,75.5,80.6,72.6,69.5,63.5,74.9,89.2,86.7,61.0,66.8,60.4
Green Bay Packers,6 - 9 - 1,376,400,84.7,79.1,81.0,88.4,72.7,82.8,59.4,74.1,74.5,53.6,71.8,69.6,49.6
Houston Texans,11 - 6,409,337,92.2,76.1,77.5,71.1,82.7,76.9,47.3,89.9,91.4,61.0,78.6,89.9,74.8
Indianapolis Colts,11 - 7,467,382,92.0,83.6,89.0,79.0,75.2,77.9,77.2,75.8,83.0,80.6,64.0,80.9,77.0
Jacksonville Jaguars,5 - 11,245,316,76.7,62.9,60.9,65.0,60.4,61.8,63.9,83.6,83.0,66.8,77.6,83.8,71.9
Kansas City Chiefs,13 - 5,627,471,93.7,89.1,92.2,82.9,85.1,86.7,70.7,77.5,62.6,64.6,89.4,74.2,67.8
Los Angeles Chargers,13 - 5,479,387,91.5,82.4,84.0,62.2,83.9,90.8,62.0,78.2,70.2,64.0,69.0,91.0,74.9
Los Angeles Rams,15 - 4,586,442,95.5,90.2,83.3,81.9,89.2,79.2,81.0,89.0,81.2,90.3,83.7,90.9,74.8
Miami Dolphins,7 - 9,319,433,70.7,65.0,45.8,63.2,74.1,73.8,56.1,67.4,76.1,53.2,66.7,57.0,74.4
Minnesota Vikings,8 - 7 - 1,360,341,89.1,76.4,79.2,63.6,80.9,74.5,55.0,84.0,87.0,91.6,68.5,87.1,78.7
New England Patriots,14 - 5,527,387,94.4,84.1,88.2,82.1,78.2,75.4,75.8,90.1,84.6,91.4,68.6,93.1,78.2
New Orleans Saints,14 - 4,547,393,93.9,86.4,92.9,77.6,84.9,83.6,61.1,84.2,90.6,88.7,77.1,72.7,57.3
New York Giants,5 - 11,369,412,80.9,73.7,62.8,66.2,79.8,80.4,62.3,70.5,73.3,52.6,68.3,68.7,78.7
New York Jets,4 - 12,333,441,81.4,65.0,58.2,70.9,69.1,66.8,54.7,82.2,89.7,73.1,69.1,81.3,89.6
Oakland Raiders,4 - 12,290,467,70.7,70.3,71.7,62.2,72.9,68.0,61.4,60.4,70.1,50.2,53.0,55.0,64.6
Philadelphia Eagles,10 - 8,397,383,92.4,79.3,79.2,79.1,76.7,63.5,75.4,87.3,85.8,60.4,85.2,80.5,66.2
Pittsburgh Steelers,9 - 6 - 1,428,360,89.1,79.9,74.9,87.3,76.5,76.1,64.9,81.1,86.6,85.1,74.8,75.8,55.1
San Francisco 49ers,4 - 12,342,435,73.7,74.7,66.3,74.8,75.8,59.0,76.9,59.1,72.2,46.1,64.7,37.3,60.7
Seattle Seahawks,10 - 7,450,371,88.6,79.4,86.3,72.9,81.3,81.8,61.4,76.9,81.4,71.1,66.4,77.4,68.5
Tampa Bay Buccaneers,5 - 11,396,464,78.3,78.6,76.2,70.7,86.3,68.6,52.7,60.9,56.9,54.4,60.9,67.1,60.4
Tennessee Titans,9 - 7,310,303,87.2,74.3,61.2,79.0,71.8,81.6,69.4,83.3,79.6,82.5,67.7,90.3,72.1
Washington Redskins,7 - 9,281,359,74.6,64.1,57.9,71.1,63.9,75.4,56.8,77.7,72.3,84.0,70.7,80.8,63.4
