TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,T,kyber-grade-badge__info-text 11,kyber-grade-badge__info-text 12,S
Arizona Cardinals,5 - 10 - 1,361,442,71.6,69.7,61.9,77.4,67.7,81.1,56.0,62.7,70.4,44.4,74.7,41.8,63.7
Atlanta Falcons,7 - 9,381,399,78.7,75.8,73.5,64.2,81.9,62.6,63.9,66.4,68.9,57.8,72.9,52.6,68.2
Baltimore Ravens,14 - 3,543,310,92.2,84.0,78.7,87.0,73.6,88.9,78.2,74.4,70.0,54.5,63.9,86.0,82.9
Buffalo Bills,10 - 7,333,281,79.5,68.2,59.9,71.0,69.5,73.3,60.2,77.6,67.6,37.6,71.0,90.2,82.7
Carolina Panthers,5 - 11,340,470,68.0,64.8,46.8,67.1,70.6,66.9,59.3,67.1,55.1,59.9,70.7,76.0,60.2
Chicago Bears,8 - 8,280,298,75.5,66.1,65.3,69.2,67.2,59.4,58.5,75.9,76.2,67.4,71.1,76.8,80.5
Cincinnati Bengals,2 - 14,279,420,66.6,62.2,57.7,63.7,66.7,72.4,46.8,64.2,67.1,44.5,68.8,51.0,83.4
Cleveland Browns,6 - 10,335,393,72.6,71.8,73.0,71.3,71.4,88.8,51.7,61.1,55.6,46.2,70.5,59.8,74.4
Dallas Cowboys,8 - 8,434,321,91.8,83.1,76.5,78.3,78.6,88.6,71.8,78.6,73.5,59.6,73.1,88.7,45.5
Denver Broncos,7 - 9,282,316,83.7,69.9,58.8,74.3,71.0,78.1,61.1,83.6,91.2,72.6,65.3,81.5,65.7
Detroit Lions,3 - 12 - 1,341,423,74.0,73.9,69.1,68.5,76.2,70.1,65.7,59.8,63.9,54.6,62.0,50.3,62.6
Green Bay Packers,14 - 4,424,373,87.3,78.8,81.8,81.0,71.8,79.2,70.8,75.6,59.4,53.3,79.6,84.6,63.1
Houston Texans,11 - 7,431,455,77.3,76.4,75.6,79.1,76.5,87.6,52.2,63.2,67.7,38.1,68.5,50.3,69.5
Indianapolis Colts,7 - 9,361,373,81.8,75.0,60.2,75.1,65.8,78.7,85.1,74.9,69.9,65.5,68.9,76.0,64.6
Jacksonville Jaguars,6 - 10,300,397,67.2,66.6,69.7,67.0,67.8,63.1,54.5,60.8,56.6,35.5,74.3,50.6,51.8
Kansas City Chiefs,15 - 4,568,383,84.1,80.5,82.8,78.9,80.4,72.8,63.1,62.8,54.4,50.2,61.8,72.0,90.5
Los Angeles Chargers,5 - 11,337,345,78.7,72.2,73.9,59.9,77.2,77.1,52.2,72.4,67.1,40.5,70.4,78.9,80.1
Los Angeles Rams,9 - 7,394,364,87.0,74.3,71.9,61.7,81.2,77.6,52.9,83.4,75.1,62.2,84.1,84.2,62.9
Miami Dolphins,5 - 11,306,494,58.6,62.5,69.7,46.1,67.2,64.5,43.7,53.3,61.6,47.4,56.1,38.9,59.5
Minnesota Vikings,11 - 7,443,350,90.6,78.0,86.0,63.0,79.2,76.9,63.3,84.5,70.9,85.3,74.4,91.5,67.1
New England Patriots,12 - 5,433,245,88.9,74.2,75.5,75.9,69.8,71.5,64.8,86.1,70.8,69.7,72.5,92.7,83.1
New Orleans Saints,13 - 4,478,367,93.7,86.1,88.6,82.6,81.2,77.9,75.1,80.1,83.5,71.7,80.1,69.2,82.4
New York Giants,4 - 12,341,451,74.5,70.7,65.3,71.5,71.8,71.0,57.1,65.8,78.6,55.9,65.5,44.7,75.0
New York Jets,7 - 9,276,359,72.7,64.3,59.8,62.4,72.3,64.9,46.9,74.3,78.2,54.6,67.1,72.2,77.8
Oakland Raiders,7 - 9,313,419,74.4,76.2,80.4,74.0,74.4,81.4,59.6,60.9,72.7,39.2,68.2,46.3,51.2
Philadelphia Eagles,9 - 8,394,371,85.8,79.2,74.9,81.1,70.6,63.6,88.4,71.5,73.7,47.8,79.6,56.7,80.5
Pittsburgh Steelers,8 - 8,289,303,81.6,60.2,48.9,79.3,60.2,60.2,56.7,91.0,89.5,56.5,90.8,89.9,71.6
San Francisco 49ers,15 - 4,563,371,93.9,83.8,74.1,70.5,85.8,85.1,75.3,89.7,72.2,57.3,80.7,92.9,67.3
Seattle Seahawks,12 - 6,445,435,83.5,79.2,91.1,61.5,80.2,77.4,58.5,68.9,71.0,43.1,61.8,71.3,69.8
Tampa Bay Buccaneers,7 - 9,458,449,84.4,78.1,66.4,76.6,84.5,70.8,63.1,74.3,79.0,47.5,73.5,69.5,56.3
Tennessee Titans,11 - 8,474,391,92.1,85.0,82.5,76.0,84.7,83.3,73.8,73.3,80.0,78.4,62.2,71.8,80.9
Washington Redskins,3 - 13,266,435,68.6,67.3,59.3,67.3,68.1,73.3,62.6,62.4,60.9,61.4,69.1,56.5,66.8
