TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF
Arizona Cardinals,7-Nov,460,400,76.6,73.8,82.8,66.3,78.7,68,52.4,62.2,49.4
Atlanta Falcons,10-Jul,313,459,69.6,74.7,72.1,52.6,76.5,62.2,80.4,48.8,43.1
Baltimore Ravens,9-Aug,387,392,80.4,75.5,66,69.7,72.2,82.5,72.3,62.5,61.1
Buffalo Bills,7-Dec,566,348,89,81.1,81.1,69,79.4,92.7,58.4,71.8,55.3
Carolina Panthers,12-May,304,404,63.2,60.4,50.1,53.9,63.1,72.6,58.7,62.6,52.2
Chicago Bears,11-Jun,311,407,68.8,70.1,61.6,66.8,69.5,82.5,63.4,52,37.1
Cincinnati Bengals,13-8,552,458,87.8,80.6,90,53.1,82.6,82.2,64.1,67,47.8
Cleveland Browns,9-Aug,349,371,86.6,77.5,61.4,70.3,68.8,89.9,85.6,75.5,54.4
Dallas Cowboys,6-Dec,547,381,92.4,88.4,82.6,79.8,83.8,83.6,87.1,66.6,43.3
Denver Broncos,10-Jul,335,322,75.6,75.7,68.7,71.4,74.2,85.2,67.1,57.9,51.6
Detroit Lions,3/13/01,325,467,62.4,69.4,60,65.3,71.7,71.7,66.8,44.4,36.2
Green Bay Packers,13-5,460,384,89.2,82.2,79.9,73.6,80.1,91.2,61.8,76.7,55.8
Houston Texans,13-Apr,280,452,55.6,61.6,56.4,59,71.6,60,48,48.5,45.1
Indianapolis Colts,8-Sep,451,365,84.5,75.6,66.7,59.2,70.8,89.4,78.6,73.6,71.8
Jacksonville Jaguars,14-Mar,253,457,59.2,64.4,59.5,70.2,63.7,72.9,57.8,50.7,40.6
Kansas City Chiefs,14 - 6,588,448,89.9,82.4,75.2,75.8,78.5,77.4,86,69.7,53.3
Las Vegas Raiders,8-Oct,393,465,78.8,74.9,77.5,64,78.7,78.7,55.2,64.1,46.4
Los Angeles Chargers,8-Sep,474,459,80.2,80.7,86,67.3,76.2,73.5,75.6,60.7,50.6
Los Angeles Rams,16-5,567,447,94.5,85.7,84.1,81.2,83.3,70.7,77,87.9,87.4
Miami Dolphins,8-Sep,341,373,75.7,67.8,71.5,51.8,73.9,64.7,53.7,73.9,66.6
Minnesota Vikings,9-Aug,425,426,80.9,78.1,84.9,55,80.6,68.7,69.2,62.6,49.9
New England Patriots,8-Oct,479,350,92.2,85.9,80.6,70.9,80,91.2,79.8,72.1,60.4
New Orleans Saints,8-Sep,364,335,83.8,69.8,63.2,64.8,70.4,82.3,60.1,81.8,82.5
New York Giants,13-Apr,258,416,60.5,60.5,53.4,52.9,63.5,65.1,64,59,47.1
New York Jets,13-Apr,310,504,62.8,68.6,56.2,64.4,65.7,82.1,74.1,46.1,38
Philadelphia Eagles,9-Sep,459,416,86.4,82.2,68.2,79.4,76.1,87,83.8,65.1,48.5
Pittsburgh Steelers,9/8/01,364,440,68.1,64.1,54.3,67.7,66.9,71.5,58.5,64.3,55.2
San Francisco 49ers,8-Dec,480,412,92.1,84.9,69.5,73,87.1,78.4,86,74.5,68.5
Seattle Seahawks,10-Jul,395,366,76.4,74.5,72.3,55.6,73.9,86,67.4,65.7,73.7
Tampa Bay Buccaneers,14 - 5,569,398,91,84.8,90.5,77.5,77.5,84.5,72.5,69.9,57.5
Tennessee Titans,6-Dec,435,373,84.5,78,81,54.3,75.7,77.9,75.5,71.4,59.9
Washington Football Team,10-Jul,335,434,77.8,73.2,58.5,78.3,70.7,64.6,80.2,66.9,70.6
