TEAM,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF
Arizona Cardinals,361,442,71.6,69.7,61.9,77.4,67.7,81.1,56,62.7,70.4
Atlanta Falcons,381,399,78.7,75.8,73.5,64.2,81.9,62.6,63.9,66.4,68.9
Baltimore Ravens,543,310,92.2,84,78.7,87,73.6,88.9,78.2,74.4,70
Buffalo Bills,333,281,79.5,68.2,59.9,71,69.5,73.3,60.2,77.6,67.6
Carolina Panthers,340,470,68,64.8,46.8,67.1,70.6,66.9,59.3,67.1,55.1
Chicago Bears,280,298,75.5,66.1,65.3,69.2,67.2,59.4,58.5,75.9,76.2
Cincinnati Bengals,279,420,66.6,62.2,57.7,63.7,66.7,72.4,46.8,64.2,67.1
Cleveland Browns,335,393,72.6,71.8,73,71.3,71.4,88.8,51.7,61.1,55.6
Dallas Cowboys,434,321,91.8,83.1,76.5,78.3,78.6,88.6,71.8,78.6,73.5
Denver Broncos,282,316,83.7,69.9,58.8,74.3,71,78.1,61.1,83.6,91.2
Detroit Lions,341,423,74,73.9,69.1,68.5,76.2,70.1,65.7,59.8,63.9
Green Bay Packers,424,373,87.3,78.8,81.8,81,71.8,79.2,70.8,75.6,59.4
Houston Texans,431,455,77.3,76.4,75.6,79.1,76.5,87.6,52.2,63.2,67.7
Indianapolis Colts,361,373,81.8,75,60.2,75.1,65.8,78.7,85.1,74.9,69.9
Jacksonville Jaguars,300,397,67.2,66.6,69.7,67,67.8,63.1,54.5,60.8,56.6
Kansas City Chiefs,568,383,84.1,80.5,82.8,78.9,80.4,72.8,63.1,62.8,54.4
Los Angeles Chargers,337,345,78.7,72.2,73.9,59.9,77.2,77.1,52.2,72.4,67.1
Los Angeles Rams,394,364,87,74.3,71.9,61.7,81.2,77.6,52.9,83.4,75.1
Miami Dolphins,306,494,58.6,62.5,69.7,46.1,67.2,64.5,43.7,53.3,61.6
Minnesota Vikings,443,350,90.6,78,86,63,79.2,76.9,63.3,84.5,70.9
New England Patriots,433,245,88.9,74.2,75.5,75.9,69.8,71.5,64.8,86.1,70.8
New Orleans Saints,478,367,93.7,86.1,88.6,82.6,81.2,77.9,75.1,80.1,83.5
New York Giants,341,451,74.5,70.7,65.3,71.5,71.8,71,57.1,65.8,78.6
New York Jets,276,359,72.7,64.3,59.8,62.4,72.3,64.9,46.9,74.3,78.2
Oakland Raiders,313,419,74.4,76.2,80.4,74,74.4,81.4,59.6,60.9,72.7
Philadelphia Eagles,394,371,85.8,79.2,74.9,81.1,70.6,63.6,88.4,71.5,73.7
Pittsburgh Steelers,289,303,81.6,60.2,48.9,79.3,60.2,60.2,56.7,91,89.5
San Francisco 49ers,563,371,93.9,83.8,74.1,70.5,85.8,85.1,75.3,89.7,72.2
Seattle Seahawks,445,435,83.5,79.2,91.1,61.5,80.2,77.4,58.5,68.9,71
Tampa Bay Buccaneers,458,449,84.4,78.1,66.4,76.6,84.5,70.8,63.1,74.3,79
Tennessee Titans,474,391,92.1,85,82.5,76,84.7,83.3,73.8,73.3,80
Washington Redskins,266,435,68.6,67.3,59.3,67.3,68.1,73.3,62.6,62.4,60.9
