TEAM,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF
Arizona Cardinals,295,361,72.9,62.4,55.5,55.4,67.6,58.6,62.4,80.4,82.6
Atlanta Falcons,389,343,94.1,85.5,87.3,75.1,81.2,72.2,82.1,87.6,84.8
Baltimore Ravens,395,303,85.9,69.6,68.5,73.1,63,77.4,63.5,84.6,82.7
Buffalo Bills,305,369,79.6,69.3,67.5,81.4,59.2,68.5,69.5,77.9,71.1
Carolina Panthers,389,358,80.2,70.2,65.8,79.3,68.1,64.3,63,75.9,83.5
Chicago Bears,264,320,84.5,70,70.5,71.4,66.9,60.9,72.8,86.2,89.7
Cincinnati Bengals,290,349,78.2,68.4,70.5,68.5,69.3,67.3,56.2,75.5,72.1
Cleveland Browns,234,410,70.2,63.1,49.2,80.1,62,67.6,59.3,72.4,86.7
Dallas Cowboys,354,332,85.8,74.9,68.1,67.7,66.8,75.3,79.8,79.9,71.1
Denver Broncos,289,382,77.4,63.9,47.1,68.6,65.4,69.9,65.9,86.8,92.4
Detroit Lions,410,376,84.8,77.3,75.6,72,85.3,52.1,61.2,71.5,73.3
Green Bay Packers,320,384,79.9,72.1,67,79.6,66.9,80.2,62.9,75.7,91.2
Houston Texans,338,436,72.3,63.8,57.4,54.8,74.1,66.2,51.6,76.8,89.9
Indianapolis Colts,263,404,75.5,62.8,58.4,69.3,62.1,68.3,56.1,80.4,91.1
Jacksonville Jaguars,492,337,92.9,73.3,66.4,70.5,76.9,65.5,70,91.8,90
Kansas City Chiefs,436,361,85.5,77.7,79.8,75,78.6,74,62,70.5,69
Los Angeles Chargers,355,272,91.9,77.1,79.4,65.8,82.1,70.3,59,90.2,71.3
Los Angeles Rams,491,355,92.5,78.9,73.5,74.3,76.4,73.2,78.3,84.5,64.5
Miami Dolphins,281,393,72.9,65.9,56.1,71,73.6,77.8,48.1,70.3,78.8
Minnesota Vikings,418,314,93.4,80.4,77.1,71.9,83.9,78.6,65.8,90.1,91.4
New England Patriots,550,371,93.7,90.3,93.1,77.6,79.4,75,88.1,75,71.1
New Orleans Saints,503,381,93.7,85.1,87.8,84.2,83,77.4,67.7,83.9,84
New York Giants,246,388,72.9,66.6,68,66.8,63.7,64.2,63.4,75.6,83.3
New York Jets,298,382,71.1,65.9,59,66.1,70.9,66.1,56.9,69.2,84.6
Oakland Raiders,301,373,79.2,69.9,70.5,81.3,64.4,69.3,64.4,75.3,84.2
Philadelphia Eagles,551,345,94.3,83.6,83.8,75.3,80.8,66.2,82.6,90.5,80.6
Pittsburgh Steelers,448,353,92.3,84.5,83.1,85.7,81.7,70.5,74.1,74.5,65.3
San Francisco 49ers,331,383,82.6,74.9,72.2,73.1,72.1,67.8,76.1,70.6,74.8
Seattle Seahawks,366,332,86.2,70.8,74.5,63.2,74.4,68.7,55.3,86.9,79
Tampa Bay Buccaneers,335,382,82.8,76.4,74.2,69.8,82,58.5,66,74.2,70.4
Tennessee Titans,370,412,87.3,74.8,69,83.3,71.5,73.1,67.3,81,90.5
Washington Redskins,342,388,78.6,69.4,68.7,67,73.5,58.3,61.1,76.8,65.7
